epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2364.19,0.52755,0.31437,0.81559,0.76389,0.65782,0.70215,0.36208,1.44866,0.76924,1.13438,0.000190924,0.000190924,0.000190924
76,2395.41,0.52064,0.3093,0.81524,0.76761,0.65086,0.69878,0.3609,1.43398,0.77296,1.12403,0.000183855,0.000183855,0.000183855
77,2426.61,0.5182,0.30686,0.81449,0.76553,0.65709,0.70266,0.36387,1.43747,0.77632,1.1214,0.000176786,0.000176786,0.000176786
78,2457.63,0.5172,0.30745,0.81582,0.76926,0.65883,0.7043,0.36375,1.43164,0.75498,1.12058,0.000169718,0.000169718,0.000169718
79,2488.76,0.51062,0.304,0.81399,0.78101,0.64788,0.70203,0.36227,1.4371,0.76437,1.12052,0.000162649,0.000162649,0.000162649
80,2519.75,0.51166,0.3024,0.81471,0.77821,0.64788,0.70315,0.36267,1.45092,0.77298,1.12445,0.000155581,0.000155581,0.000155581
81,2550.8,0.50487,0.29944,0.81229,0.78895,0.64589,0.70518,0.36149,1.4677,0.76557,1.13138,0.000148512,0.000148512,0.000148512
82,2581.88,0.50923,0.30324,0.81425,0.77533,0.65186,0.70381,0.3623,1.45008,0.76392,1.12532,0.000141443,0.000141443,0.000141443
83,2612.97,0.50689,0.30155,0.81434,0.77359,0.65285,0.70298,0.36438,1.43839,0.75578,1.12415,0.000134375,0.000134375,0.000134375
84,2644.18,0.50369,0.29944,0.81246,0.77967,0.64589,0.70202,0.36528,1.43468,0.74332,1.12534,0.000127306,0.000127306,0.000127306
85,2675.32,0.50188,0.29848,0.8117,0.77905,0.65053,0.70842,0.36623,1.43117,0.74104,1.12053,0.000120238,0.000120238,0.000120238
86,2706.37,0.49227,0.29524,0.81055,0.78025,0.6502,0.70741,0.36657,1.43346,0.74843,1.12767,0.000113169,0.000113169,0.000113169
87,2737.65,0.48984,0.29539,0.81179,0.78344,0.65219,0.70797,0.36591,1.43139,0.75402,1.12804,0.0001061,0.0001061,0.0001061
88,2768.75,0.48713,0.29248,0.80945,0.77475,0.65318,0.70534,0.36663,1.42847,0.75287,1.1255,9.90318e-05,9.90318e-05,9.90318e-05
89,2799.89,0.49674,0.2966,0.8113,0.77849,0.65255,0.70597,0.36541,1.43397,0.76576,1.12614,9.19632e-05,9.19632e-05,9.19632e-05
90,2830.89,0.48759,0.29085,0.80999,0.77879,0.64901,0.70568,0.36474,1.42995,0.75252,1.1215,8.48946e-05,8.48946e-05,8.48946e-05
91,2862.96,1.3122,0.63662,1.04213,0.77163,0.65351,0.7059,0.37153,1.40883,0.74048,1.11398,7.7826e-05,7.7826e-05,7.7826e-05
92,2893.83,1.28845,0.62808,1.03452,0.77421,0.65385,0.70674,0.37288,1.4096,0.74163,1.11394,7.07574e-05,7.07574e-05,7.07574e-05
93,2924.77,1.26919,0.61366,1.01801,0.77637,0.66048,0.70895,0.37223,1.41364,0.73813,1.1203,6.36888e-05,6.36888e-05,6.36888e-05
94,2955.46,1.24453,0.59886,1.00286,0.78928,0.65782,0.70994,0.37344,1.41486,0.73866,1.12283,5.66202e-05,5.66202e-05,5.66202e-05
95,2986.25,1.232,0.59179,1.00824,0.79144,0.65804,0.71144,0.37527,1.41017,0.73112,1.12247,4.95516e-05,4.95516e-05,4.95516e-05
96,3017.09,1.21914,0.58943,0.99986,0.77877,0.66645,0.71401,0.37473,1.41683,0.73143,1.12235,4.2483e-05,4.2483e-05,4.2483e-05
97,3047.97,1.23723,0.59637,1.01035,0.77798,0.6618,0.71368,0.37643,1.4178,0.73073,1.12533,3.54144e-05,3.54144e-05,3.54144e-05
98,3078.71,1.20414,0.58108,0.99457,0.77386,0.66214,0.71275,0.37532,1.41691,0.73319,1.1237,2.83458e-05,2.83458e-05,2.83458e-05
99,3109.58,1.2053,0.57652,0.99242,0.77297,0.66718,0.71463,0.37517,1.41286,0.7336,1.12346,2.12772e-05,2.12772e-05,2.12772e-05
100,3140.42,1.19557,0.56943,0.99307,0.77842,0.66512,0.71557,0.376,1.40818,0.73003,1.12062,1.42086e-05,1.42086e-05,1.42086e-05
